Name,Category,Id,Cate_name
Abc1,1,1800001,UI
Abc2,5,1800002,SAT
Abc3,1,1800004,UI
Abc4,2,1800005,Web
Abc5,3,1800006,UI
Abc6,3,1800007,Product
Abc7,2,1800008,Web
Abc8,3,1800012,Product
Abc9,1,1800013,UI
Abc10,1,1800016,UI
Abc11,2,1800018,Web
Abc12,1,1800021,UI
Abc13,3,1800022,Product
Abc14,3,1800024,Product
Abc15,3,1800025,Product
Abc16,6,1800028,Architect
Abc17,1,1800029,UI
Abc18,4,1800030,Research
Abc19,4,1800031,Research
Abc20,1,1800033,UI
Abc21,5,1800034,SAT
Abc22,1,1800035,UI
Abc23,3,1800036,Product
Abc24,1,1800037,UI
Abc25,3,1800039,Product
Abc26,1,1800042,UI
Abc27,3,1800044,Product
Abc28,3,1800045,Product
Abc29,1,1800046,UI
Abc30,3,1800047,Product
Abc31,1,1800048,UI
Abc32,3,1800049,Product
Abc33,3,1800051,Product
Abc34,3,1800052,Product
Abc35,1,1800053,UI
Abc36,3,1800054,Product
Abc37,5,1800055,SAT
Abc38,3,1800057,Product
Abc39,3,1800058,Product
Abc40,1,1800059,UI
Abc41,3,1800060,Product
Abc42,1,1800061,UI
Abc43,1,1800062,UI
Abc44,2,1800064,Web
Abc45,3,1800066,Product
Abc46,1,1800067,UI
Abc47,3,1800069,Product
Abc48,2,1800070,Web
Abc49,3,1800071,Product
Abc50,2,1800072,Web
Abc51,3,1800075,Product
Abc52,2,1800076,Web
Abc53,2,1800077,Web
Abc54,1,1800078,UI
Abc55,3,1800080,Product
Abc56,3,1800081,Product
Abc57,3,1800082,Product
Abc58,5,1800085,SAT
Abc59,3,1800086,Product
Abc60,1,1800089,UI
Abc61,2,1800092,Web
Abc62,2,1800093,Web
Abc63,2,1800094,Web
Abc64,2,1800095,Web
Abc65,1,1800096,UI
Abc66,3,1800098,Product
Abc67,3,1800099,Product
Abc68,1,1800100,UI
